sku,name,description,category,quantity,price
SPO0081,Yoga Mat Pro,This is a yoga mat for sports,Sports,72,43.98
SPO0082,Basketball Basic,This is a basketball for sports,Sports,60,77.72
SPO0083,Yoga Mat Deluxe,This is a yoga mat for sports,Sports,35,25.8
HOM0084,Toaster Premium,This is a toaster for Home and Kitchen,Home and Kitchen,39,179.3
ELE0085,Tablet Deluxe,This is a tablet for electronics,Electronics,92,776.37
HOM0086,Knife Set Basic,This is a knife set for Home and Kitchen,Home and Kitchen,2,114.22
CLO0087,Socks Pro,This is a socks for clothing,Clothing,12,19.27
HOM0088,Cookware Standard,This is a cookware for Home and Kitchen,Home and Kitchen,76,246.01
ELE0089,Laptop Premium,This is a laptop for electronics,Electronics,92,1482.54
TOY0090,LEGO Set Basic,This is a lego set for toys,Toys,17,60.81
SPO0091,Tennis Racket Deluxe,This is a tennis racket for sports,Sports,76,132.92
TOY0092,Doll Basic,This is a doll for toys,Toys,50,45.48
TOY0093,Action Figure Deluxe,This is a action figure for toys,Toys,63,92.75
HOM0094,Cookware Pro,This is a cookware for Home and Kitchen,Home and Kitchen,77,220.8
HOM0095,Toaster Standard,This is a toaster for Home and Kitchen,Home and Kitchen,54,160.6
ELE0096,Laptop Deluxe,This is a laptop for electronics,Electronics,34,1089.32
BOO0097,Self-help Pro,This is a self-help for books,Books,66,12.66
ELE0098,Headphones Basic,This is a headphones for electronics,Electronics,38,1238.06
HOM0099,Blender Pro,This is a blender for Home and Kitchen,Home and Kitchen,93,53.23
CLO0100,Jeans Premium,This is a jeans for clothing,Clothing,3,38.88
